id,japanese_name,scientific_name,order_name_ja,order_name_en,family_name_ja,family_name_en,genus_name,species_name,subspecies_name,distribution,note
82,ヤクヤモリ,Gekko yakuensis,トカゲ亜目,Lacertilia,ヤモリ科,Gekkonidae,,,,九州南部、屋久島、種子島、馬毛島,
83,オキナワキノボリトカゲ,Japalura polygonata polygonata,トカゲ亜目,Lacertilia,アガマ科,Agamidae,,,,奄美群島、沖縄諸島,固有亜種
84,サキシマキノボリトカゲ,Japalura polygonata ishigakiensis,トカゲ亜目,Lacertilia,アガマ科,Agamidae,,,,宮古諸島、八重山諸島（与那国島除く）,固有亜種
85,ヨナグニキノボリトカゲ,Japalura polygonata donan,トカゲ亜目,Lacertilia,アガマ科,Agamidae,,,,与那国島,固有亜種
86,オガサワラトカゲ,Cryptoblepharus nigropunctatus,トカゲ亜目,Lacertilia,トカゲ科,Scincidae,,,,小笠原諸島、鳥島、南鳥島,
87,サキシマスベトカゲ,Scincella boettgeri,トカゲ亜目,Lacertilia,トカゲ科,Scincidae,,,,宮古諸島、八重山諸島,
88,イシガキトカゲ,Plestiodon stimpsonii,トカゲ亜目,Lacertilia,トカゲ科,Scincidae,,,,八重山諸島,
89,オオシマトカゲ,Plestiodon oshimensis,トカゲ亜目,Lacertilia,トカゲ科,Scincidae,,,,奄美群島、宝島、小宝島、諏訪之瀬島,
90,オカダトカゲ,Plestiodon latiscutatus,トカゲ亜目,Lacertilia,トカゲ科,Scincidae,,,,伊豆半島、伊豆諸島（青ヶ島以北）,
91,オキナワトカゲ,Plestiodon marginatus ,トカゲ亜目,Lacertilia,トカゲ科,Scincidae,,,,沖縄諸島、与論島、沖永良部島、中之島,
92,キシノウエトカゲ,Plestiodon kishinouyei,トカゲ亜目,Lacertilia,トカゲ科,Scincidae,,,,宮古諸島、八重山諸島,
93,クチノシマトカゲ,Plestiodon kuchinoshimensis,トカゲ亜目,Lacertilia,トカゲ科,Scincidae,,,,口之島,
94,センカクトカゲ,Plestiodon takarai,トカゲ亜目,Lacertilia,トカゲ科,Scincidae,,,,尖閣諸島（魚釣島、北小島、南小島、久場島）,
95,ニホントカゲ,Plestiodon japonicus,トカゲ亜目,Lacertilia,トカゲ科,Scincidae,,,,近畿以西の本州、四国、九州と周辺島嶼（対馬除く）,
96,バーバートカゲ,Plestiodon barbouri,トカゲ亜目,Lacertilia,トカゲ科,Scincidae,,,,沖縄島、渡嘉敷島、久米島、奄美大島、加計呂麻島、請島、与路島、徳之島,
97,ヘリグロヒメトカゲ,Ateuchosaurus pellopleurus,トカゲ亜目,Lacertilia,トカゲ科,Scincidae,,,,沖縄諸島、奄美群島、トカラ列島、大隅諸島（竹島、硫黄島、黒島）,
98,アオカナヘビ,Takydromus smaragdinus,トカゲ亜目,Lacertilia,カナヘビ科,Lacertidae,,,,沖縄諸島、奄美群島、トカラ列島（宝島、小宝島）,
99,サキシマカナヘビ,Takydromus dorsalis,トカゲ亜目,Lacertilia,カナヘビ科,Lacertidae,,,,石垣島、西表島、黒島,
100,ニホンカナヘビ,Takydromus tachydromoides,トカゲ亜目,Lacertilia,カナヘビ科,Lacertidae,,,,北海道、本州、四国、九州と周辺島嶼（諏訪之瀬島以北）,
101,ミヤコカナヘビ,Takydromus toyamai,トカゲ亜目,Lacertilia,カナヘビ科,Lacertidae,,,,宮古島、伊良部島、下地島,
102,イワサキセダカヘビ,Pareas iwasakii,ヘビ亜目,Serpentes,セダカヘビ科,Pareatidae,,,,石垣島、西表島,
103,アマミタカチホヘビ,Achalinus werneri,ヘビ亜目,Serpentes,タカチホヘビ科,Xenodermatidae,,,,奄美大島、枝手久島、加計呂麻島、徳之島、沖縄島、渡嘉敷島,
104,ヤエヤマタカチホヘビ,Achalinus formosanus chigirai,ヘビ亜目,Serpentes,タカチホヘビ科,Xenodermatidae,,,,石垣島、西表島,固有亜種
105,サキシマアオヘビ,Cyclophiops herminae,ヘビ亜目,Serpentes,ナミヘビ科,Colubridae,,,,八重山諸島,
106,リュウキュウアオヘビ,Cyclophiops semicarinatus,ヘビ亜目,Serpentes,ナミヘビ科,Colubridae,,,,沖縄諸島、奄美群島、トカラ列島（宝島、小宝島）,
107,サキシマバイカダ,Lycodon ruhstrati multifasciatus,ヘビ亜目,Serpentes,ナミヘビ科,Colubridae,,,,宮古島、石垣島、西表島,固有亜種
108,キクザトサワヘビ,Opisthotropis kikuzatoi,ヘビ亜目,Serpentes,ナミヘビ科,Colubridae,,,,久米島,
109,ジムグリ,Euprepiophis conspicillatus,ヘビ亜目,Serpentes,ナミヘビ科,Colubridae,,,,北海道、本州、四国、九州と周辺島嶼（屋久島以北、佐渡と対馬除く）,
110,アオダイショウ,Elaphe climacophora,ヘビ亜目,Serpentes,ナミヘビ科,Colubridae,,,,北海道、本州、四国、九州と周辺島嶼（口之島以北）,
111,シマヘビ,Elaphe quadrivirgata,ヘビ亜目,Serpentes,ナミヘビ科,Colubridae,,,,北海道、本州、四国、九州と周辺島嶼（口之島以北、対馬除く）,
112,サキシマスジオ,Elaphe taeniura schmackeri,ヘビ亜目,Serpentes,ナミヘビ科,Colubridae,,,,宮古諸島、石垣島、西表島、小浜島,固有亜種
113,ヨナグニシュウダ,Elaphe carinata yonaguniensis,ヘビ亜目,Serpentes,ナミヘビ科,Colubridae,,,,与那国島,固有亜種
114,ガラスヒバァ,Hebius pryeri,ヘビ亜目,Serpentes,ナミヘビ科,Colubridae,,,,奄美群島、沖縄諸島,
115,ヒバカリ,Hebius vibakari vibakari,ヘビ亜目,Serpentes,ナミヘビ科,Colubridae,,,,本州、四国、九州と周辺島嶼（対馬除く）,固有亜種
116,ダンジョヒバカリ,Hebius vibakari danjoensis,ヘビ亜目,Serpentes,ナミヘビ科,Colubridae,,,,男女群島の男島（長崎）,固有亜種
117,ミヤコヒバァ,Hebius concelarus,ヘビ亜目,Serpentes,ナミヘビ科,Colubridae,,,,宮古島、伊良部島,
118,ヤエヤマヒバァ,Hebius ishigakiensis,ヘビ亜目,Serpentes,ナミヘビ科,Colubridae,,,,石垣島、西表島,
119,ミヤラヒメヘビ,Calamaria pavimentata miyarai,ヘビ亜目,Serpentes,ナミヘビ科,Colubridae,,,,与那国島,固有亜種
120,ミヤコヒメヘビ,Calamaria pfefferi,ヘビ亜目,Serpentes,ナミヘビ科,Colubridae,,,,宮古島、伊良部島,
121,アカマタ,Dinodon semicarinatum,ヘビ亜目,Serpentes,ナミヘビ科,Colubridae,,,,奄美群島、沖縄諸島,
122,サキシママダラ,Dinodon rufozonatum walli,ヘビ亜目,Serpentes,ナミヘビ科,Colubridae,,,,宮古諸島、八重山諸島,固有亜種
123,シロマダラ,Dinodon orientale,ヘビ亜目,Serpentes,ナミヘビ科,Colubridae,,,,北海道、本州、四国、九州と周辺島嶼（屋久島以北、対馬除く）,
124,ヤマカガシ,Rhabdophis tigrinus,ヘビ亜目,Serpentes,ナミヘビ科,Colubridae,,,,本州、四国、九州と周辺島嶼（屋久島以北、対馬除く）,
125,ヒャン,Sinomicrurus japonicus,ヘビ亜目,Serpentes,コブラ科,Elapidae,,,,奄美群島、沖縄諸島,2亜種（ヒャン、ハイ）
126,イワサキワモンベニヘビ,Sinomicrurus macclellandi iwasakii,ヘビ亜目,Serpentes,コブラ科,Elapidae,,,,石垣島、西表島,固有亜種
127,サキシマハブ,Protobothrops elegans,ヘビ亜目,Serpentes,クサリヘビ科,Viperidae,,,,八重山諸島（与那国島、波照間島除く）,
128,トカラハブ,Protobothrops tokarensis,ヘビ亜目,Serpentes,クサリヘビ科,Viperidae,,,,宝島、小宝島,
